id,title,price,weight,description,article_link,img_link,extra_details,date_published,date_expires,scraped_date
10,Bonduelle Goldmais,0.99,300g Dose,"300g Dose, (1kg=3,47)",placeholder,https://offer-images.api.edeka/27b7e654-a703-443c-8632-c39a75eb683d_3083681102499_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
11,Bresso,1.11,120/150g Packung/Becher,"Frischkäsezubereitung, versch. Sorten und Fettstufen, 120/150g Packung/Becher, (1kg=9,25/7,40)",placeholder,https://offer-images.api.edeka/1f11bc55-2d39-483c-b377-f40ac7f03f7c_4000400008053_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
12,Calidris 28 Black,0.88,250ml DPG-Dose,"Energy-Drink, koffeinhaltig, versch. Sorten, + 0,25 Pfand, 250ml DPG-Dose, (1l=3,52)",placeholder,https://offer-images.api.edeka/e3eaa830-992d-499b-9ef0-6fffaf163200_4260160950010_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
13,Colgate Zahncreme,1.49,75ml Tube,"Sensation oder Max, versch. Varianten, 75ml Tube, (1l=19,87)",placeholder,https://offer-images.api.edeka/084517e9-a3ba-4134-8984-093846085571_8718951312432_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
14,"Coppenrath & Wiese Lust auf Torte, Kuchen, vegane Torte oder veganen Kuchen",2.99,Packung,"versch. Sorten, z.B.: Erdbeer-Joghurt-Torte 420g, Erdbeer-Frischkäsekuchen 550g, vegane Mandel-Bienenstich-Torte 360g, vegane Donauwellen-Torte 440g, Packung, (1kg = 7,12/5,44/8,31/6,80)",placeholder,https://offer-images.api.edeka/da2cd3e4-9f46-4c8d-9e21-66811c52af65_4008577006827_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
15,Cupper Bio-Teespezialitäten,1.99,Packung,"20 Aufgussbeutel, versch. Sorten, Packung",placeholder,https://offer-images.api.edeka/de7ebad8-7775-459b-b57f-7e4114c5267e_5021991939648_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
16,Dallmayr Kaffeepads,1.69,112/124g Beutel,"versch. Sorten, 112/124g Beutel, (1kg=15,09/13,63)",placeholder,https://offer-images.api.edeka/17a7a14b-71d7-4f5a-a263-e27ca53a3b76_4008167003878_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
17,Danone Activia Joghurt,1.69,440/460g Packung,"versch. Sorten, 440/460g Packung, (1kg=3,84/3,67)",placeholder,https://offer-images.api.edeka/e81a1bc3-b5f0-433a-a4f3-defc2e578713_4009700068927_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
18,"Dr. Oetker Ristorante, Piccola oder Flammkuchen",1.99,Packung,"versch. Sorten, z.B.: Salame 320g, Speciale 345g, Flammkuchen Elsässer Art 265g, Packung, (1kg=6,22/5,77/7,51)",placeholder,https://offer-images.api.edeka/10c49e37-2d0b-471d-91dd-5032109305d4_4001724038900_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
19,EDEKA Bio Finnisch-Toasties,0.83,4x65g = 260g Packung,"4 Stück im praktischen Doppelpack, mit Meersalz verfeinert, 4x65g = 260g Packung, (1kg=3,19)",placeholder,https://offer-images.api.edeka/c782b899-cfcd-40da-89a5-15670f71b521_4311501750179_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
