id,title,price,weight,description,article_link,img_link,extra_details,date_published,date_expires,scraped_date
20,EDEKA Bio Frischkäse,0.91,150g Becher,"Doppelrahmstufe, versch. Sorten, 150g Becher, (1kg=6,07)",placeholder,https://offer-images.api.edeka/ca180a3b-f2b5-4244-8073-6f13e437e1ef_4311501318843_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
21,EDEKA Bio Frucht-Quetschbeutel,0.79,100g Beutel,"ab 1 Jahr, 100% Frucht, versch. Sorten, 100g Beutel, (1kg=7,90)",placeholder,https://offer-images.api.edeka/fd478b42-b74a-404a-9034-18ce59d7dabd_4311501693698.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
22,EDEKA Bio Konfitüre extra,1.53,330g Glas,"versch. Sorten, 330g Glas, (1kg=4,64)",placeholder,https://offer-images.api.edeka/f7df8762-4295-47fb-8b99-1b647a200b43_4311501001028_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
23,EDEKA Bio My Veggie Pflanzlicher Brotaufstrich,1.11,180g Glas,"versch. Sorten, 180g Glas, (1kg=6,17)",placeholder,https://offer-images.api.edeka/8fdb74c4-f7eb-4fc6-95fa-28271770ba63_4311501647721_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
24,EDEKA Frucht- oder Saft-Liebe,0.88,1l PET-DPG-Flasche,"Fruchtsäfte oder Nektare, versch. Sorten, + 0,25 Pfand, 1l PET-DPG-Flasche",placeholder,https://offer-images.api.edeka/454791be-f180-4789-bc58-9e963f135e9e_4311501733547_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
25,EDEKA Grillen - Das Buch,14.95,Stück,"Rezepte mit Fleisch, Fisch, Gemüse, Süßes, Beilagen und Dips, Stück",placeholder,https://offer-images.api.edeka/4f64d163-b170-45a8-b574-7551ef25f9df_P2828170004_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
26,EDEKA Kräuter- oder Knoblauchbutter,0.69,100g Stück,"Butterzubereitung, natürlich voll im Geschmack, 100g Stück, (1kg=6,90)",placeholder,https://offer-images.api.edeka/6dc5eb68-6db4-4c9a-bd0d-2933bad937f1_4311501355541_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
27,EDEKA Pulled-Pork-Nuggets,2.49,300g Packung,"ideal zum Snacken, mit BBQ-Dip, 300g Packung, (1kg=8,30)",placeholder,https://offer-images.api.edeka/4425e9e2-9a3e-443d-9f34-05c05564d8d3_4311501742648_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
28,Eduscho Espresso oder Caffé Crema,9.79,1kg Beutel,"ganze Bohnen, ideal für Kaffeevollautomaten, versch. Sorten, 1kg Beutel",placeholder,https://offer-images.api.edeka/ca139740-151b-44fe-89a7-ab13306e092a_4061445226963_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
29,Erasco Fertiggerichte,1.79,750/770/780/800ml/g Dose,"Feinschmeckereintöpfe oder Familiensuppen, versch. Sorten, 750/770/780/800ml/g Dose, (1l/kg=2,39/2,32/2,29/2,24)",placeholder,https://offer-images.api.edeka/d356930a-7de7-443e-bd5b-03e3c830a9b9_4037300104370_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
30,Erdinger Weißbier,13.99,"20x0,5l Flasche","versch. Sorten, + 3,10 Pfand, 20x0,5l Flasche, (1l=1,40)",placeholder,https://offer-images.api.edeka/abf50e78-01fe-40d1-8108-76215d993425_4002103010012_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
31,Ferrero Ice-Cream-Multipack,2.79,200/220/248/280g Packung,"Raffaello, Rocher oder Kinderbueno, versch. Sorten, 200/220/248/280g Packung, (1l=13,95/12,68/11,25/9,96)",placeholder,https://offer-images.api.edeka/862f3864-9471-4f8b-a011-90d94ba32fac_8000500363492_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
32,Flensburger Bierspezialitäten,11.49,"20x0,33l Bügelflasche","versch. Sorten, + 4,50 Pfand, 20x0,33l Bügelflasche, (1l=1,74)",placeholder,https://offer-images.api.edeka/1b1229b9-6c20-4eba-8a15-d7070b179eb8_4103080000116_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
33,Goldsteig Emmentaler,0.99,100g,"dt. Hartkäse, nussig-feiner Geschmack, 45% Fett i. Tr., 100g, (1kg=9,90)",placeholder,https://offer-images.api.edeka/58e4d94c-3921-4225-b232-9f9724fef144_60247_01.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
34,Grillkäse nach französischer Art,1.99,100g,"gewürzter Schafskäse, zum Backen und Grillen, 100g, (1kg=19,90)",placeholder,https://offer-images.api.edeka/f5426c93-10e8-45af-9e77-236d47511f57_korsika_grillkaese_schafskaese.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
35,GUT&GÜNSTIG Backpapier-Zuschnitte,0.99,30er Packung,"einzeln entnehmbar, beidseitig verwendbar, kein Durchfetten, 30er Packung",placeholder,https://offer-images.api.edeka/fe4d2574-e8d0-4fef-bbae-9f6b4f9cce0c_4311501373026_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
36,GUT&GÜNSTIG Delikatess-Rostbratwurst,2.99,6x90g = 540g Packung,"6x90g = 540g Packung, (1kg=5,54)",placeholder,https://offer-images.api.edeka/484ff0b2-b72d-456a-a7db-9d79821725a0_4311596466375_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
37,GUT&GÜNSTIG Einmalhandschuhe,2.99,60 Stück Packung,"latexfrei, für Latexallergiker geeignet, reißfest, puderfrei, beidhändig tragbar, versch. Größen, 60 Stück Packung",placeholder,https://offer-images.api.edeka/bfd8ecc1-797a-4668-a786-52a3858f97c9_4311501595244_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
38,GUT&GÜNSTIG Feinkostsaucen,0.79,250ml Flasche,"versch. Sorten, 250ml Flasche, (1l=3,16)",placeholder,https://offer-images.api.edeka/78e93549-16bb-4cae-87b6-7d7ba87952d0_4311501716588_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
39,GUT&GÜNSTIG Fix für Salat,0.49,5x10g Packung,"versch. Sorten, 5x10g Packung, (1kg=9,80)",placeholder,https://offer-images.api.edeka/cf676161-4d12-4185-876b-1698274b803a_4311501732601_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
40,GUT&GÜNSTIG Grill- und Pfannenkäse,1.39,2x75g = 150g Packung,"versch. Sorten, 45% Fett i. Tr., 2x75g = 150g Packung, (1kg=9,27)",placeholder,https://offer-images.api.edeka/e1c1cfc9-f835-43d9-ac18-347e61612af1_4311501750094_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
41,GUT&GÜNSTIG Grillbriketts,2.99,3kg Beutel,"intensive Hitzeentwicklung, für knusprig-saftiges Grillen, 3kg Beutel, (1kg=1,00)",placeholder,https://offer-images.api.edeka/c2886fda-1804-4b94-92c7-cb64ef28acd3_4311501571798_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
42,GUT&GÜNSTIG Grillgemüse,1.99,350g Packung,"in praktischer Aluschale, für den Grill und Ofen, 350g Packung, (1kg=5,69)",placeholder,https://offer-images.api.edeka/556676cf-da87-47a8-a4e3-4345bd4816eb_4311501452134_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
43,GUT&GÜNSTIG Kartoffelsalat,1.89,1kg Becher,"versch. Sorten, 1kg Becher",placeholder,https://offer-images.api.edeka/6c4dfc07-670e-437c-89bc-710ffa116ee4_4311596468331_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
44,GUT&GÜNSTIG Küchentücher,4.99,8x64 Blatt Packung,"extrem saugstark & reißfest, 3-lagig, 8x64 Blatt Packung",placeholder,https://offer-images.api.edeka/14edeb4d-1547-4fed-a5e3-18b3310b6030_4311501792322_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
45,GUT&GÜNSTIG Nachhaltige Öko-Grill & -Kaminanzünder,1.49,64 Stück Packung,"aus Holz und Wachs, geruchsneutral, 64 Stück Packung",placeholder,https://offer-images.api.edeka/cbe82f03-27c8-4aca-9a7e-66622aad0f2c_4311501576304_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
46,GUT&GÜNSTIG Orangen- oder Zitronenlimonade,0.44,"1,5l PET-DPG-Flasche","+ 0,25 Pfand, 1,5l PET-DPG-Flasche, (1l=0,29)",placeholder,https://offer-images.api.edeka/9ddc68b6-1458-4807-bf56-f145c324ddf1_4311596436101_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
47,GUT&GÜNSTIG Pflanzen- oder Sonnenblumenmargarine,1.29,500g Becher,"500g Becher, (1kg=2,58)",placeholder,https://offer-images.api.edeka/f929b102-a55e-4a04-8975-6138c3936eb9_4311596042159_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
