title,price,article_link,img_url,description,scraped_date,date_published
Hähnchen Cordon bleu XXL,6.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/haehnchen-cordon-bleu-xxl-1025029-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Frisch; flüssig gewürzt; paniert; gefüllt mit Gouda-Schmelzkäse und Hähnchenoberkeulenschinken; zum Braten oder für den Ofen
 
Aus der Frischetruhe
",2023-04-19,2023-04-14
Hähnchen-Minutenschnitzel,3.79,https://www.aldi-nord.de/angebote/aktion-mo-17-04/haehnchen-minutenschnitzel-3700-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Frisch; aus dem Brustfilet; zum Braten oder für den Grill
 
Aus der Frischetruhe
",2023-04-19,2023-04-14
Schinkengeschnetzeltes,3.29,https://www.aldi-nord.de/angebote/aktion-mo-17-04/schinkengeschnetzeltes-1016482-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Aus dem Schweineschinken; verschiedene Sorten; zum Braten
 
Aus der Frischetruhe
",2023-04-19,2023-04-14
Streichzart XXL,2.49,https://www.aldi-nord.de/angebote/aktion-mo-17-04/streichzart-xxl-1006002-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Aus Butter und Rapsöl; verschiedene Sorten
 
Aus der Kühlung
",2023-04-19,2023-04-14
Tradition Feta,1.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/tradition-feta-1005900-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Mind. 2 Monate im Holzfass gereift
 
Aus der Kühlung
",2023-04-19,2023-04-14
Scheibenkäse,1.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/scheibenkaese-1020145-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","In der Sorte Original; kräftig und herzhaft
 
Aus der Kühlung
",2023-04-19,2023-04-14
Scheibenkäse,1.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/scheibenkaese-1020146-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","In der Sorte pikant und cremig
 
Aus der Kühlung
",2023-04-19,2023-04-14
Brotaufstrich,1.79,https://www.aldi-nord.de/angebote/aktion-mo-17-04/brotaufstrich-1001964-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Verschiedene Sorten; z. T. MSC-zertifiziert
 
Aus der Kühlung
",2023-04-19,2023-04-14
Schinkenröllchen in Aspik,1.29,https://www.aldi-nord.de/angebote/aktion-mo-17-04/schinkenroellchen-in-aspik-1002483-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Mit cremiger Füllung; verschiedene Sorten
 
Aus der Kühlung
",2023-04-19,2023-04-14
Gemüsepfanne,1.79,https://www.aldi-nord.de/angebote/aktion-mo-17-04/gemu_sepfanne-1020612-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Verschiedene Sorten; vegetarisch bzw. z.T. vegan
 
Aus der Tiefkühlung
",2023-04-19,2023-04-14
Rösti-Fries,1.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/roesti-fries-1020720-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Gewürzte Kartoffel-Stäbchen; aus frisch geraspelten Qualitätskartoffeln; vorgebacken
 
Aus der Tiefkühlung
",2023-04-19,2023-04-14
Marinierte Fischfilets,2.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/marinierte-fischfilets-1024484-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","100 % Alaska-Seelachs-Filet; in der Sorte mit Tomate und Spinat; MSC-zertifiziert
 
Aus der Tiefkühlung
",2023-04-19,2023-04-14
Marinierte Fischfilets,2.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/marinierte-fischfilets-1024485-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","100 % Alaska-Seelachs-Filet; in der Sorte mit Tomate und Spinat; MSC-zertifiziert
 
Aus der Tiefkühlung
",2023-04-19,2023-04-14
Frische Landmilch,1.29,https://www.aldi-nord.de/angebote/aktion-mo-17-04/frische-landmilch-1000245-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","3,8 % Fett
 
Aus der Kühlung
",2023-04-19,2023-04-14
